participant,isMale,leftHanded,age,weight,height,HowReligious,nSibling,smoke,romantic,education1_you,education_father,education_mother,conservative_you,conservative_father,conservative_mother,income_you,income_parent,cityGrewupPopulation,cityGrewupSize,cityGrewupConservative,cityNowPopulation,cityNowSize,cityNowConservative
2357ZL,0,0,26,185,64,3,3,1,1,5,1,1,4,2,2,1,1,2,3,2,6,5,2
2359ZL,0,0,19,188,65,5,2,1,1,2,3,3,1,1,1,1,5,5,3,6,6,5,3
2360ZL,0,0,21,113,62,5,2,1,1,3,5,3,4,4,4,1,3,5,3,4,5,3,4
2364ZL,0,1,18,208,64,2,2,1,4,2,2,1,4,3,5,1,3,5,5,4,6,5,2
2365ZL,0,0,19,125,64,4,4,1,4,2,3,3,2,2,3,1,5,1,1,5,6,5,3
2371ZL,0,0,19,142,64,5,3,1,2,2,5,5,4,4,4,2,2,2,3,4,7,5,3
2377ZL,0,0,19,170,70,2,2,1,1,2,2,3,2,5,3,1,1,3,3,3,5,5,2
2431ZL,0,0,18,135,62,5,3,1,3,1,3,5,3,6,6,1,6,4,4,4,4,3,5
2486ZL,1,0,23,150,74,1,4,1,2,3,5,3,2,2,4,1,6,3,4,4,6,5,2
2505ZL,1,0,27,127,67,1,5,5,7,5,1,3,1,6,5,1,3,3,3,5,6,5,3
2523ZL,1,0,30,148,72,2,4,5,1,2,2,3,2,4,6,1,2,7,5,5,7,5,2
2524ZL,0,0,24,142,66,2,2,1,6,4,5,1,1,5,2,1,4,3,2,5,5,5,2
2528ZL,1,1,26,160,68,2,1,1,1,5,2,1,2,5,5,1,2,2,3,5,3,4,3
2538ZL,0,0,38,168,64.5,6,5,1,7,5,5,5,4,4,1,3,4,3,3,3,2,2,4
2540ZL,0,0,21,118,63,1,2,1,1,3,5,3,2,6,5,1,4,3,3,5,6,4,2
2542ZL,0,0,23,265,66,4,2,1,2,2,1,2,3,3,3,1,1,4,3,3,4,3,4
2544ZL,0,0,20,118,63,1,2,1,4,2,5,5,2,2,2,1,4,3,4,3,3,2,2
2548ZL,1,0,20,155,68,1,4,1,1,2,5,3,3,3,3,1,6,3,3,5,6,5,3
2553ZL,0,0,20,155,66,6,5,1,4,2,3,4,4,5,4,1,5,3,3,4,4,5,2
2554ZL,1,0,21,160,72,5,4,1,2,2,5,5,2,3,3,1,6,3,3,5,6,5,3
2555ZL,0,0,19,111,61,5,2,1,3,2,3,5,3,6,2,1,4,3,4,6,6,5,2
2556ZL,1,1,20,185,70,2,2,1,1,2,3,2,1,5,2,1,2,6,5,2,6,5,2
2561ZL,0,0,24,135,70,1,3,1,2,3,5,5,1,1,1,2,6,3,3,4,7,5,2
2568ZL,0,0,24,130,64,5,4,1,1,5,1,2,1,1,2,1,6,1,1,6,6,5,1
2570ZL,1,0,24,148,70,1,3,1,6,5,1,1,2,2,3,2,4,2,2,4,6,5,2
2573ZL,0,0,28,115,64,2,1,1,4,5,5,4,2,2,2,1,5,4,4,2,5,5,4
2577ZL,1,0,20,150,69,3,1,1,1,2,3,1,2,4,4,1,5,3,3,4,6,5,3
2581ZL,0,0,21,150,62,1,3,1,3,2,1,2,3,2,1,1,1,1,1,5,6,5,3
2582ZL,0,0,24,110,65,5,1,2,1,4,2,3,2,5,5,1,2,2,3,4,4,4,3
2583ZL,1,0,21,197,69,4,1,1,1,2,5,3,4,3,4,1,3,3,3,4,7,5,2
2584ZL,1,0,20,250,70,5,3,1,2,2,3,3,4,4,4,1,4,5,3,4,7,5,4
2588ZL,0,0,20,132,62,1,4,1,2,2,3,1,2,5,4,1,5,5,4,3,6,5,2
2590ZL,0,0,24,125,62,1,2,1,1,4,5,3,2,2,2,1,5,6,3,6,7,2,2
2591ZL,0,0,25,116,63,5,1,1,6,3,1,1,3,6,6,1,1,5,4,4,3,3,4
2592ZL,1,0,18,145,71,6,1,1,1,1,1,1,6,4,2,1,2,2,3,6,7,5,1
2593ZL,0,0,21,150,66,2,3,1,1,2,3,3,4,4,4,1,4,4,5,4,6,5,3
2594ZL,0,0,26,175,70,5,2,1,6,4,5,3,3,4,5,1,5,5,3,4,6,5,4
2595ZL,0,0,18,150,70,1,3,2,1,2,5,2,1,2,2,1,6,3,3,5,7,5,1
2596ZL,0,0,20,122,65,5,3,1,2,2,5,3,2,2,2,1,5,3,3,4,4,5,2
2597ZL,0,0,19,126,65,5,3,1,3,2,5,5,3,5,2,1,6,3,3,4,5,5,3
2599ZL,1,1,28,155,70,4,5,1,1,2,5,3,2,3,2,1,6,6,3,1,7,5,5
2600ZL,0,1,25,180,68,1,3,1,1,1,3,2,1,3,2,2,2,2,2,3,5,4,2
2602ZL,1,0,19,130,69,2,2,1,3,2,3,3,4,5,5,1,5,3,3,5,6,5,3
2603ZL,1,0,23,161,71,2,2,2,6,3,4,4,2,2,3,1,1,7,5,3,6,5,1
2604ZL,0,0,22,128,64,6,2,1,2,2,2,2,1,2,3,1,4,3,3,3,3,3,3
